player_name,season,team
Abdul P A,2023,Rajasthan Royals
Abdul P A,2026,Rajasthan Royals
Abdul Samad,2020,Sunrisers Hyderabad
Abdul Samad,2021,Sunrisers Hyderabad
Abdul Samad,2022,Sunrisers Hyderabad
Abdul Samad,2023,Sunrisers Hyderabad
Abdul Samad,2024,Sunrisers Hyderabad
Abdul Samad,2025,Lucknow Super Giants
Abdul Samad,2026,Lucknow Super Giants
Abdur Razzak,2008,Royal Challengers Bengaluru
Abhijeet Tomar,2022,Kolkata Knight Riders
Abhijeet Tomar,2026,Kolkata Knight Riders
Abhimanyu Mithun,2015,Mumbai Indians
Abhimanyu Mithun,2016,Sunrisers Hyderabad
Abhimanyu Mithun,2026,Sunrisers Hyderabad
Abhinandan Singh,2025,Royal Challengers Bengaluru
Abhinandan Singh,2026,Royal Challengers Bengaluru
Abhinav Manohar,2025,Sunrisers Hyderabad
Abhinav Manohar,2026,Sunrisers Hyderabad
Abhinav Sadarangani,2022,Gujarat Titans
Abhinav Sadarangani,2026,Gujarat Titans
Abhishek Nayar,2013,Pune Warriors India
Abhishek Nayar,2014,Rajasthan Royals
Abhishek Nayar,2026,Rajasthan Royals
Abhishek Sharma,2018,Delhi Capitals
Abhishek Sharma,2019,Sunrisers Hyderabad
Abhishek Sharma,2020,Sunrisers Hyderabad
Abhishek Sharma,2021,Sunrisers Hyderabad
Abhishek Sharma,2022,Sunrisers Hyderabad
Abhishek Sharma,2023,Sunrisers Hyderabad
Abhishek Sharma,2024,Sunrisers Hyderabad
Abhishek Sharma,2026,Sunrisers Hyderabad
Abid Mushtaq,2024,Rajasthan Royals
Abid Mushtaq,2026,Rajasthan Royals
Abishek Porel,2023,Delhi Capitals
Abishek Porel,2024,Delhi Capitals
Abu Nechim Ahmed,2014,Royal Challengers Bengaluru
Abu Nechim Ahmed,2026,Royal Challengers Bengaluru
Adam Milne,2015,Royal Challengers Bengaluru
Adam Milne,2021,Mumbai Indians
Adam Milne,2022,Chennai Super Kings
Adam Milne,2026,Rajasthan Royals
Adam Zampa,2016,Rising Pune Supergiant
Adam Zampa,2023,Rajasthan Royals
Adam Zampa,2025,Sunrisers Hyderabad
Adam Zampa,2026,Sunrisers Hyderabad
Adil Rashid,2023,Sunrisers Hyderabad
Adil Rashid,2026,Sunrisers Hyderabad
Aditya Garhwal,2015,Kolkata Knight Riders
Aditya Garhwal,2026,Kolkata Knight Riders
Aditya Tare,2014,Mumbai Indians
Aditya Tare,2016,Sunrisers Hyderabad
Aditya Tare,2017,Delhi Capitals
Aditya Tare,2018,Mumbai Indians
Aditya Tare,2026,Mumbai Indians
Agnivesh Ayachi,2019,Punjab Kings
Agnivesh Ayachi,2026,Punjab Kings
Aiden Blizzard,2015,Mumbai Indians
Aiden Blizzard,2026,Mumbai Indians
Aiden Markram,2022,Sunrisers Hyderabad
Aiden Markram,2025,Lucknow Super Giants
Aiden Markram,2026,Lucknow Super Giants
Ajantha Mendis,2013,Pune Warriors India
Ajantha Mendis,2026,Pune Warriors India
Ajay Mandal,2023,Chennai Super Kings
Ajay Mandal,2025,Delhi Capitals
Ajay Mandal,2026,Delhi Capitals
Ajinkya Rahane,2018,Rajasthan Royals
Ajinkya Rahane,2022,Kolkata Knight Riders
Ajinkya Rahane,2023,Chennai Super Kings
Ajinkya Rahane,2025,Kolkata Knight Riders
Ajinkya Rahane,2026,Kolkata Knight Riders
Akash Deep,2022,Royal Challengers Bengaluru
Akash Deep,2023,Royal Challengers Bengaluru
Akash Deep,2024,Royal Challengers Bengaluru
Akash Deep,2025,Lucknow Super Giants
Akash Deep,2026,Kolkata Knight Riders
Akash Madhwal,2023,Mumbai Indians
Akash Madhwal,2024,Mumbai Indians
Akash Madhwal,2025,Rajasthan Royals
Akash Madhwal,2026,Rajasthan Royals
Akash Singh,2020,Rajasthan Royals
Akash Singh,2021,Rajasthan Royals
Akash Singh,2023,Chennai Super Kings
Akash Singh,2024,Sunrisers Hyderabad
Akash Singh,2025,Lucknow Super Giants
Akash Singh,2026,Lucknow Super Giants
Akash Vashisht,2023,Rajasthan Royals
Akash Vashisht,2026,Rajasthan Royals
Akeal Hosein,2023,Sunrisers Hyderabad
Akeal Hosein,2026,Chennai Super Kings
Akhil Arvind Herwadkar,2016,Delhi Capitals
Akhil Arvind Herwadkar,2026,Delhi Capitals
Akila Dananjaya,2013,Chennai Super Kings
Akila Dananjaya,2026,Chennai Super Kings
Akila Dhananjaya,2018,Mumbai Indians
Akila Dhananjaya,2026,Mumbai Indians
Akshar Rajesh Patel,2014,Punjab Kings
Akshar Rajesh Patel,2026,Punjab Kings
Akshat Raghuwanshi,2026,Lucknow Super Giants
Akshay Karnewar,2016,Royal Challengers Bengaluru
Akshay Karnewar,2026,Royal Challengers Bengaluru
Akshay Wakhare,2015,Mumbai Indians
Akshay Wakhare,2026,Mumbai Indians
Akshdeep Nath,2016,Gujarat Lions
Akshdeep Nath,2017,Gujarat Lions
Akshdeep Nath,2018,Punjab Kings
Akshdeep Nath,2019,Royal Challengers Bengaluru
