player_name,season,team
B. Sai Sudharsan,2026,Gujarat Titans
BA Bhatt,2011,Punjab Kings
BA Bhatt,2012,Punjab Kings
BA Bhatt,2013,Punjab Kings
BA Stokes,2017,Rising Pune Supergiant
BA Stokes,2018,Rajasthan Royals
BA Stokes,2019,Rajasthan Royals
BA Stokes,2020,Rajasthan Royals
BA Stokes,2021,Rajasthan Royals
BA Stokes,2023,Chennai Super Kings
BAW Mendis,2008,Kolkata Knight Riders
BAW Mendis,2009,Kolkata Knight Riders
BAW Mendis,2010,Kolkata Knight Riders
BAW Mendis,2013,Pune Warriors
BB McCullum,2008,Kolkata Knight Riders
BB McCullum,2009,Kolkata Knight Riders
BB McCullum,2010,Kolkata Knight Riders
BB McCullum,2011,Kochi Tuskers Kerala
BB McCullum,2012,Kolkata Knight Riders
BB McCullum,2013,Kolkata Knight Riders
BB McCullum,2014,Chennai Super Kings
BB McCullum,2015,Chennai Super Kings
BB McCullum,2016,Gujarat Lions
BB McCullum,2017,Gujarat Lions
BB McCullum,2018,Royal Challengers Bengaluru
BB Samantray,2012,Deccan Chargers
BB Samantray,2013,Sunrisers Hyderabad
BB Sran,2015,Rajasthan Royals
BB Sran,2016,Sunrisers Hyderabad
BB Sran,2017,Sunrisers Hyderabad
BB Sran,2018,Punjab Kings
BB Sran,2019,Mumbai Indians
BCJ Cutting,2014,Rajasthan Royals
BCJ Cutting,2016,Sunrisers Hyderabad
BCJ Cutting,2017,Sunrisers Hyderabad
BCJ Cutting,2018,Mumbai Indians
BCJ Cutting,2019,Mumbai Indians
BE Hendricks,2014,Punjab Kings
BE Hendricks,2015,Punjab Kings
BJ Haddin,2011,Kolkata Knight Riders
BJ Hodge,2008,Kolkata Knight Riders
BJ Hodge,2009,Kolkata Knight Riders
BJ Hodge,2010,Kolkata Knight Riders
BJ Hodge,2011,Kochi Tuskers Kerala
BJ Hodge,2012,Rajasthan Royals
BJ Hodge,2013,Rajasthan Royals
BJ Hodge,2014,Rajasthan Royals
BJ Rohrer,2013,Delhi Capitals
BMAJ Mendis,2013,Delhi Capitals
BR Dunk,2014,Mumbai Indians
BR Sharath,2024,Gujarat Titans
BW Hilfenhaus,2012,Chennai Super Kings
BW Hilfenhaus,2014,Chennai Super Kings
Baba Aparajith,2014,Chennai Super Kings
Baba Aparajith,2016,Rising Pune Supergiant
Baba Aparajith,2026,Rising Pune Supergiant
Baba Indrajith,2022,Kolkata Knight Riders
Baba Indrajith,2026,Kolkata Knight Riders
Baltej Dhanda,2022,Punjab Kings
Baltej Dhanda,2026,Punjab Kings
Bandaru Ayyappa,2019,Delhi Capitals
Bandaru Ayyappa,2026,Delhi Capitals
Barinder Singh Saran,2015,Rajasthan Royals
Barinder Singh Saran,2026,Rajasthan Royals
Barinder Singh Sran,2016,Sunrisers Hyderabad
Barinder Singh Sran,2018,Punjab Kings
Barinder Singh Sran,2019,Mumbai Indians
Barinder Singh Sran,2026,Mumbai Indians
Basil Thampi,2017,Gujarat Lions
Basil Thampi,2018,Sunrisers Hyderabad
Basil Thampi,2019,Sunrisers Hyderabad
Basil Thampi,2020,Sunrisers Hyderabad
Basil Thampi,2022,Mumbai Indians
Basil Thampi,2026,Mumbai Indians
Ben Cutting,2014,Rajasthan Royals
Ben Cutting,2016,Sunrisers Hyderabad
Ben Cutting,2018,Mumbai Indians
Ben Cutting,2021,Kolkata Knight Riders
Ben Cutting,2026,Kolkata Knight Riders
Ben Duckett,2026,Delhi Capitals
Ben Dunk,2014,Mumbai Indians
Ben Dunk,2026,Mumbai Indians
Ben Dwarshuis,2018,Punjab Kings
Ben Dwarshuis,2026,Punjab Kings
Ben Hilfenhaus,2014,Chennai Super Kings
Ben Hilfenhaus,2026,Chennai Super Kings
Ben Laughlin,2013,Chennai Super Kings
Ben Laughlin,2017,Sunrisers Hyderabad
Ben Laughlin,2018,Rajasthan Royals
Ben Laughlin,2026,Rajasthan Royals
Ben Stokes,2023,Chennai Super Kings
Ben Stokes,2026,Chennai Super Kings
Benjamin Stokes,2017,Rising Pune Supergiant
Benjamin Stokes,2018,Rajasthan Royals
Benjamin Stokes,2026,Rajasthan Royals
Benny Howell,2022,Punjab Kings
Benny Howell,2026,Punjab Kings
Beuran Hendricks,2014,Punjab Kings
Beuran Hendricks,2026,Punjab Kings
Bevan John Jacobs,2025,Mumbai Indians
Bevan John Jacobs,2026,Mumbai Indians
Bhagath Varma,2023,Chennai Super Kings
Bhagath Varma,2026,Chennai Super Kings
Bhanuka Rajapaksa,2022,Punjab Kings
Bhanuka Rajapaksa,2026,Punjab Kings
Bhuvneshwar Kumar,2014,Sunrisers Hyderabad
Bhuvneshwar Kumar,2022,Sunrisers Hyderabad
Bhuvneshwar Kumar,2025,Royal Challengers Bengaluru
Bhuvneshwar Kumar,2026,Royal Challengers Bengaluru
Billy Stanlake,2017,Royal Challengers Bengaluru
Billy Stanlake,2018,Sunrisers Hyderabad
Billy Stanlake,2026,Sunrisers Hyderabad
Bipul Sharma,2010,Punjab Kings
Bipul Sharma,2011,Punjab Kings
Bipul Sharma,2012,Punjab Kings
Bipul Sharma,2013,Punjab Kings
Bipul Sharma,2015,Sunrisers Hyderabad
Bipul Sharma,2016,Sunrisers Hyderabad
Bipul Sharma,2017,Sunrisers Hyderabad
Bipul Sharma,2018,Sunrisers Hyderabad
Bipul Sharma,2026,Sunrisers Hyderabad
Brad Hodge,2014,Rajasthan Royals
Brad Hodge,2026,Rajasthan Royals
Brad Hogg,2015,Kolkata Knight Riders
Brad Hogg,2026,Kolkata Knight Riders
Brendan Taylor,2014,Sunrisers Hyderabad
Brendan Taylor,2026,Sunrisers Hyderabad
Brendon McCullum,2014,Chennai Super Kings
Brendon McCullum,2018,Royal Challengers Bengaluru
Brendon McCullum,2026,Royal Challengers Bengaluru
Brijesh Sharma,2026,Rajasthan Royals
Brydon Carse,2025,Sunrisers Hyderabad
Brydon Carse,2026,Sunrisers Hyderabad
C Ganapathy,2010,Chennai Super Kings
C Green,2023,Mumbai Indians
C Green,2024,Royal Challengers Bengaluru
C Hari Nishaanth,2021,Chennai Super Kings
C Hari Nishaanth,2026,Chennai Super Kings
C Madan,2010,Mumbai Indians
C Munro,2016,Kolkata Knight Riders
C Munro,2018,Delhi Capitals
C Munro,2019,Delhi Capitals
C Nanda,2009,Mumbai Indians
C Sakariya,2021,Rajasthan Royals
C Sakariya,2022,Delhi Capitals
C Sakariya,2023,Delhi Capitals
C de Grandhomme,2017,Kolkata Knight Riders
C de Grandhomme,2018,Royal Challengers Bengaluru
C de Grandhomme,2019,Royal Challengers Bengaluru
C.Hari Nishaanth,2022,Chennai Super Kings
C.Hari Nishaanth,2026,Chennai Super Kings
C.M. Gautam,2014,Mumbai Indians
C.M. Gautam,2015,Delhi Capitals
C.M. Gautam,2026,Delhi Capitals
CA Ingram,2011,Delhi Capitals
CA Ingram,2019,Delhi Capitals
CA Lynn,2012,Deccan Chargers
CA Lynn,2014,Kolkata Knight Riders
CA Lynn,2016,Kolkata Knight Riders
CA Lynn,2017,Kolkata Knight Riders
CA Lynn,2018,Kolkata Knight Riders
CA Lynn,2019,Kolkata Knight Riders
CA Lynn,2021,Mumbai Indians
CA Pujara,2010,Kolkata Knight Riders
CA Pujara,2011,Royal Challengers Bengaluru
CA Pujara,2012,Royal Challengers Bengaluru
CA Pujara,2013,Royal Challengers Bengaluru
CA Pujara,2014,Punjab Kings
CH Gayle,2009,Kolkata Knight Riders
CH Gayle,2010,Kolkata Knight Riders
CH Gayle,2011,Royal Challengers Bengaluru
CH Gayle,2012,Royal Challengers Bengaluru
CH Gayle,2013,Royal Challengers Bengaluru
CH Gayle,2014,Royal Challengers Bengaluru
CH Gayle,2015,Royal Challengers Bengaluru
CH Gayle,2016,Royal Challengers Bengaluru
CH Gayle,2017,Royal Challengers Bengaluru
CH Gayle,2018,Punjab Kings
CH Gayle,2019,Punjab Kings
CH Gayle,2020,Punjab Kings
CH Gayle,2021,Punjab Kings
CH Morris,2013,Chennai Super Kings
CH Morris,2015,Rajasthan Royals
CH Morris,2016,Delhi Capitals
CH Morris,2017,Delhi Capitals
CH Morris,2018,Delhi Capitals
CH Morris,2019,Delhi Capitals
CH Morris,2020,Royal Challengers Bengaluru
CH Morris,2021,Rajasthan Royals
CJ Anderson,2014,Mumbai Indians
CJ Anderson,2015,Mumbai Indians
CJ Anderson,2017,Delhi Capitals
CJ Anderson,2018,Royal Challengers Bengaluru
CJ Dala,2018,Delhi Capitals
CJ Ferguson,2011,Pune Warriors
CJ Ferguson,2012,Pune Warriors
CJ Green,2020,Kolkata Knight Riders
CJ Jordan,2016,Royal Challengers Bengaluru
CJ Jordan,2017,Sunrisers Hyderabad
CJ Jordan,2018,Sunrisers Hyderabad
CJ Jordan,2020,Punjab Kings
CJ Jordan,2021,Punjab Kings
CJ Jordan,2022,Chennai Super Kings
CJ Jordan,2023,Mumbai Indians
CJ McKay,2012,Mumbai Indians
CK Kapugedera,2008,Chennai Super Kings
CK Langeveldt,2009,Kolkata Knight Riders
CK Langeveldt,2010,Kolkata Knight Riders
CK Langeveldt,2011,Royal Challengers Bengaluru
CL White,2008,Royal Challengers Bengaluru
CL White,2010,Royal Challengers Bengaluru
CL White,2011,Deccan Chargers
CL White,2012,Deccan Chargers
CL White,2013,Sunrisers Hyderabad
CM Gautam,2013,Delhi Capitals
CM Gautam,2014,Mumbai Indians
CM Gautam,2015,Delhi Capitals
CR Brathwaite,2016,Delhi Capitals
CR Brathwaite,2017,Delhi Capitals
CR Brathwaite,2018,Sunrisers Hyderabad
CR Brathwaite,2019,Kolkata Knight Riders
CR Woakes,2017,Kolkata Knight Riders
CR Woakes,2018,Royal Challengers Bengaluru
CR Woakes,2021,Delhi Capitals
CRD Fernando,2008,Mumbai Indians
CRD Fernando,2010,Mumbai Indians
CV Varun,2019,Punjab Kings
CV Varun,2020,Kolkata Knight Riders
CV Varun,2021,Kolkata Knight Riders
CV Varun,2022,Kolkata Knight Riders
CV Varun,2023,Kolkata Knight Riders
CV Varun,2024,Kolkata Knight Riders
Cameron Delport,2018,Kolkata Knight Riders
Cameron Delport,2026,Kolkata Knight Riders
Cameron Green,2023,Mumbai Indians
Cameron Green,2026,Kolkata Knight Riders
Carlos Brathwaite,2016,Delhi Capitals
Carlos Brathwaite,2018,Sunrisers Hyderabad
Carlos Brathwaite,2019,Kolkata Knight Riders
Carlos Brathwaite,2026,Kolkata Knight Riders
Chaitanya Bishnoi,2018,Chennai Super Kings
Chaitanya Bishnoi,2026,Chennai Super Kings
Chama Milind,2014,Sunrisers Hyderabad
Chama Milind,2016,Delhi Capitals
Chama Milind,2022,Royal Challengers Bengaluru
Chama Milind,2026,Royal Challengers Bengaluru
Chamika Karunaratne,2022,Kolkata Knight Riders
Chamika Karunaratne,2026,Kolkata Knight Riders
Chetan Sakariya,2021,Rajasthan Royals
Chetan Sakariya,2022,Delhi Capitals
Chetan Sakariya,2024,Kolkata Knight Riders
Chetan Sakariya,2026,Kolkata Knight Riders
Cheteshwar Pujara,2014,Punjab Kings
Cheteshwar Pujara,2021,Chennai Super Kings
Cheteshwar Pujara,2026,Chennai Super Kings
Chirag Suri,2017,Gujarat Lions
Chirag Suri,2026,Gujarat Lions
Chris Green,2020,Kolkata Knight Riders
Chris Green,2026,Kolkata Knight Riders
Chris Jordan,2017,Sunrisers Hyderabad
Chris Jordan,2018,Sunrisers Hyderabad
Chris Jordan,2020,Punjab Kings
Chris Jordan,2022,Chennai Super Kings
Chris Jordan,2026,Chennai Super Kings
Chris Lynn,2014,Kolkata Knight Riders
Chris Lynn,2018,Kolkata Knight Riders
Chris Lynn,2020,Mumbai Indians
Chris Lynn,2026,Mumbai Indians
Chris Woakes,2017,Kolkata Knight Riders
Chris Woakes,2018,Royal Challengers Bengaluru
Chris Woakes,2020,Delhi Capitals
Chris Woakes,2024,Punjab Kings
Chris Woakes,2026,Punjab Kings
Christopher Barnwell,2013,Royal Challengers Bengaluru
Christopher Barnwell,2026,Royal Challengers Bengaluru
Christopher Gayle,2018,Punjab Kings
Christopher Gayle,2026,Punjab Kings
Christopher Morris,2013,Chennai Super Kings
Christopher Morris,2015,Rajasthan Royals
Christopher Morris,2016,Delhi Capitals
Christopher Morris,2020,Royal Challengers Bengaluru
Christopher Morris,2021,Rajasthan Royals
Christopher Morris,2026,Rajasthan Royals
Clinton McKay,2013,Sunrisers Hyderabad
Clinton McKay,2026,Sunrisers Hyderabad
Colin De Grandhomme,2018,Royal Challengers Bengaluru
Colin De Grandhomme,2026,Royal Challengers Bengaluru
Colin Ingram,2019,Delhi Capitals
Colin Ingram,2026,Delhi Capitals
Colin Munro,2016,Kolkata Knight Riders
Colin Munro,2018,Delhi Capitals
Colin Munro,2026,Delhi Capitals
Cooper Connolly,2026,Punjab Kings
Corey Anderson,2014,Mumbai Indians
Corey Anderson,2017,Delhi Capitals
Corey Anderson,2026,Delhi Capitals
D Brevis,2022,Mumbai Indians
D Brevis,2024,Mumbai Indians
D Ferreira,2024,Rajasthan Royals
D Jansen,2023,Mumbai Indians
D Kalyankrishna,2008,Deccan Chargers
D Padikkal,2020,Royal Challengers Bengaluru
D Padikkal,2021,Royal Challengers Bengaluru
D Padikkal,2022,Rajasthan Royals
D Padikkal,2023,Rajasthan Royals
D Padikkal,2024,Lucknow Super Giants
D Pretorius,2022,Chennai Super Kings
D Pretorius,2023,Chennai Super Kings
D Salunkhe,2008,Rajasthan Royals
D Wiese,2015,Royal Challengers Bengaluru
D Wiese,2016,Royal Challengers Bengaluru
D Wiese,2023,Kolkata Knight Riders
D du Preez,2009,Royal Challengers Bengaluru
DA Miller,2012,Punjab Kings
DA Miller,2013,Punjab Kings
DA Miller,2014,Punjab Kings
DA Miller,2015,Punjab Kings
DA Miller,2016,Punjab Kings
DA Miller,2017,Punjab Kings
DA Miller,2018,Punjab Kings
DA Miller,2019,Punjab Kings
DA Miller,2021,Rajasthan Royals
DA Miller,2022,Gujarat Titans
DA Miller,2023,Gujarat Titans
DA Miller,2024,Gujarat Titans
DA Warner,2009,Delhi Capitals
DA Warner,2010,Delhi Capitals
DA Warner,2011,Delhi Capitals
DA Warner,2012,Delhi Capitals
DA Warner,2013,Delhi Capitals
DA Warner,2014,Sunrisers Hyderabad
DA Warner,2015,Sunrisers Hyderabad
DA Warner,2016,Sunrisers Hyderabad
DA Warner,2017,Sunrisers Hyderabad
DA Warner,2019,Sunrisers Hyderabad
DA Warner,2020,Sunrisers Hyderabad
DA Warner,2021,Sunrisers Hyderabad
DA Warner,2022,Delhi Capitals
DA Warner,2023,Delhi Capitals
DA Warner,2024,Delhi Capitals
DAJ Bracewell,2012,Delhi Capitals
DB Das,2008,Kolkata Knight Riders
DB Das,2012,Kolkata Knight Riders
DB Das,2013,Kolkata Knight Riders
DB Ravi Teja,2008,Deccan Chargers
DB Ravi Teja,2009,Deccan Chargers
DB Ravi Teja,2011,Deccan Chargers
DB Ravi Teja,2012,Deccan Chargers
DB Ravi Teja,2013,Sunrisers Hyderabad
DE Bollinger,2010,Chennai Super Kings
DE Bollinger,2011,Chennai Super Kings
DE Bollinger,2012,Chennai Super Kings
DG Nalkande,2022,Gujarat Titans
DG Nalkande,2023,Gujarat Titans
DG Nalkande,2024,Gujarat Titans
DH Yagnik,2011,Rajasthan Royals
DH Yagnik,2012,Rajasthan Royals
DH Yagnik,2013,Rajasthan Royals
DH Yagnik,2014,Rajasthan Royals
DJ Bravo,2008,Mumbai Indians
DJ Bravo,2009,Mumbai Indians
DJ Bravo,2010,Mumbai Indians
DJ Bravo,2011,Chennai Super Kings
DJ Bravo,2012,Chennai Super Kings
DJ Bravo,2013,Chennai Super Kings
DJ Bravo,2014,Chennai Super Kings
DJ Bravo,2015,Chennai Super Kings
DJ Bravo,2016,Gujarat Lions
DJ Bravo,2018,Chennai Super Kings
DJ Bravo,2019,Chennai Super Kings
DJ Bravo,2020,Chennai Super Kings
DJ Bravo,2021,Chennai Super Kings
DJ Bravo,2022,Chennai Super Kings
DJ Harris,2012,Deccan Chargers
DJ Hooda,2015,Rajasthan Royals
DJ Hooda,2016,Sunrisers Hyderabad
DJ Hooda,2017,Sunrisers Hyderabad
DJ Hooda,2018,Sunrisers Hyderabad
DJ Hooda,2019,Sunrisers Hyderabad
DJ Hooda,2020,Punjab Kings
DJ Hooda,2021,Punjab Kings
DJ Hooda,2022,Lucknow Super Giants
DJ Hooda,2023,Lucknow Super Giants
DJ Hooda,2024,Lucknow Super Giants
DJ Hussey,2008,Kolkata Knight Riders
DJ Hussey,2009,Kolkata Knight Riders
DJ Hussey,2010,Kolkata Knight Riders
DJ Hussey,2011,Punjab Kings
DJ Hussey,2012,Punjab Kings
DJ Hussey,2013,Punjab Kings
DJ Hussey,2014,Chennai Super Kings
DJ Jacobs,2011,Mumbai Indians
DJ Jacobs,2012,Mumbai Indians
DJ Malan,2021,Punjab Kings
DJ Mitchell,2022,Rajasthan Royals
DJ Mitchell,2024,Chennai Super Kings
DJ Muthuswami,2015,Delhi Capitals
DJ Thornely,2008,Mumbai Indians
DJ Willey,2018,Chennai Super Kings
DJ Willey,2022,Royal Challengers Bengaluru
DJ Willey,2023,Royal Challengers Bengaluru
DJG Sammy,2013,Sunrisers Hyderabad
DJG Sammy,2014,Sunrisers Hyderabad
DJG Sammy,2015,Royal Challengers Bengaluru
DJM Short,2018,Rajasthan Royals
DL Chahar,2016,Rising Pune Supergiant
DL Chahar,2017,Rising Pune Supergiant
DL Chahar,2018,Chennai Super Kings
DL Chahar,2019,Chennai Super Kings
DL Chahar,2020,Chennai Super Kings
DL Chahar,2021,Chennai Super Kings
DL Chahar,2023,Chennai Super Kings
DL Chahar,2024,Chennai Super Kings
DL Vettori,2008,Delhi Capitals
DL Vettori,2009,Delhi Capitals
DL Vettori,2010,Delhi Capitals
DL Vettori,2011,Royal Challengers Bengaluru
DL Vettori,2012,Royal Challengers Bengaluru
DM Bravo,2017,Kolkata Knight Riders
DNT Zoysa,2008,Deccan Chargers
DP Conway,2022,Chennai Super Kings
DP Conway,2023,Chennai Super Kings
DP Nannes,2009,Delhi Capitals
DP Nannes,2010,Delhi Capitals
DP Nannes,2011,Royal Challengers Bengaluru
DP Nannes,2013,Chennai Super Kings
DP Vijaykumar,2008,Deccan Chargers
DPMD Jayawardene,2008,Punjab Kings
DPMD Jayawardene,2009,Punjab Kings
DPMD Jayawardene,2010,Punjab Kings
DPMD Jayawardene,2011,Kochi Tuskers Kerala
DPMD Jayawardene,2012,Delhi Capitals
DPMD Jayawardene,2013,Delhi Capitals
DR Martyn,2010,Rajasthan Royals
DR Sams,2020,Delhi Capitals
DR Sams,2021,Royal Challengers Bengaluru
DR Sams,2022,Mumbai Indians
DR Shorey,2018,Chennai Super Kings
DR Shorey,2019,Chennai Super Kings
DR Smith,2008,Mumbai Indians
DR Smith,2009,Deccan Chargers
DR Smith,2010,Deccan Chargers
DR Smith,2012,Mumbai Indians
DR Smith,2013,Mumbai Indians
DR Smith,2014,Chennai Super Kings
DR Smith,2015,Chennai Super Kings
DR Smith,2016,Gujarat Lions
DR Smith,2017,Gujarat Lions
DS Kulkarni,2008,Mumbai Indians
DS Kulkarni,2009,Mumbai Indians
DS Kulkarni,2010,Mumbai Indians
DS Kulkarni,2011,Mumbai Indians
DS Kulkarni,2012,Mumbai Indians
DS Kulkarni,2013,Mumbai Indians
DS Kulkarni,2014,Rajasthan Royals
DS Kulkarni,2015,Rajasthan Royals
DS Kulkarni,2016,Gujarat Lions
DS Kulkarni,2017,Gujarat Lions
DS Kulkarni,2018,Rajasthan Royals
DS Kulkarni,2019,Rajasthan Royals
DS Kulkarni,2020,Mumbai Indians
DS Kulkarni,2021,Mumbai Indians
DS Lehmann,2008,Rajasthan Royals
DT Christian,2011,Deccan Chargers
DT Christian,2012,Deccan Chargers
DT Christian,2013,Royal Challengers Bengaluru
DT Christian,2017,Rising Pune Supergiant
DT Christian,2018,Delhi Capitals
DT Christian,2021,Royal Challengers Bengaluru
DT Patil,2008,Royal Challengers Bengaluru
DW Steyn,2008,Royal Challengers Bengaluru
DW Steyn,2009,Royal Challengers Bengaluru
DW Steyn,2010,Royal Challengers Bengaluru
DW Steyn,2011,Deccan Chargers
DW Steyn,2012,Deccan Chargers
DW Steyn,2013,Sunrisers Hyderabad
DW Steyn,2014,Sunrisers Hyderabad
DW Steyn,2015,Sunrisers Hyderabad
DW Steyn,2016,Gujarat Lions
DW Steyn,2019,Royal Challengers Bengaluru
DW Steyn,2020,Royal Challengers Bengaluru
Daksh Kamra,2026,Kolkata Knight Riders
Dale Steyn,2016,Gujarat Lions
Dale Steyn,2020,Royal Challengers Bengaluru
Dale Steyn,2026,Royal Challengers Bengaluru
Dan Christian,2021,Royal Challengers Bengaluru
Dan Christian,2026,Royal Challengers Bengaluru
Daniel Christian,2013,Royal Challengers Bengaluru
Daniel Christian,2017,Rising Pune Supergiant
Daniel Christian,2018,Delhi Capitals
Daniel Christian,2026,Delhi Capitals
Daniel Sams,2022,Mumbai Indians
Daniel Sams,2023,Lucknow Super Giants
Daniel Sams,2026,Lucknow Super Giants
Danish Malewar,2026,Mumbai Indians
Darcy Short,2018,Rajasthan Royals
Darcy Short,2026,Rajasthan Royals
Darren Bravo,2017,Kolkata Knight Riders
Darren Bravo,2026,Kolkata Knight Riders
Darren Sammy,2013,Sunrisers Hyderabad
Darren Sammy,2014,Sunrisers Hyderabad
Darren Sammy,2015,Royal Challengers Bengaluru
Darren Sammy,2017,Punjab Kings
Darren Sammy,2026,Punjab Kings
Darshan Nalkande,2019,Punjab Kings
Darshan Nalkande,2022,Gujarat Titans
Darshan Nalkande,2025,Delhi Capitals
Darshan Nalkande,2026,Delhi Capitals
Daryl Mitchell,2022,Rajasthan Royals
Daryl Mitchell,2024,Chennai Super Kings
Daryl Mitchell,2026,Chennai Super Kings
David Miller,2018,Punjab Kings
David Miller,2020,Rajasthan Royals
David Miller,2022,Gujarat Titans
David Miller,2025,Lucknow Super Giants
David Miller,2026,Delhi Capitals
David Warner,2014,Sunrisers Hyderabad
David Warner,2022,Delhi Capitals
David Warner,2026,Delhi Capitals
David Wiese,2015,Royal Challengers Bengaluru
David Wiese,2023,Kolkata Knight Riders
David Wiese,2026,Kolkata Knight Riders
David Willey,2022,Royal Challengers Bengaluru
David Willey,2024,Lucknow Super Giants
David Willey,2026,Lucknow Super Giants
Dawid Malan,2021,Punjab Kings
Dawid Malan,2026,Punjab Kings
Debabrata Das,2014,Kolkata Knight Riders
Debabrata Das,2026,Kolkata Knight Riders
Deepak Chahar,2016,Rising Pune Supergiant
Deepak Chahar,2018,Chennai Super Kings
Deepak Chahar,2022,Chennai Super Kings
Deepak Chahar,2025,Mumbai Indians
Deepak Chahar,2026,Mumbai Indians
Deepak Hooda,2014,Rajasthan Royals
Deepak Hooda,2016,Sunrisers Hyderabad
Deepak Hooda,2018,Sunrisers Hyderabad
Deepak Hooda,2020,Punjab Kings
Deepak Hooda,2022,Lucknow Super Giants
Deepak Hooda,2025,Chennai Super Kings
Deepak Hooda,2026,Chennai Super Kings
Deepak Punia,2016,Mumbai Indians
Deepak Punia,2026,Mumbai Indians
Devdutt Padikkal,2019,Royal Challengers Bengaluru
Devdutt Padikkal,2022,Rajasthan Royals
Devdutt Padikkal,2025,Royal Challengers Bengaluru
Devdutt Padikkal,2026,Royal Challengers Bengaluru
Devon Conway,2022,Chennai Super Kings
Devon Conway,2025,Chennai Super Kings
Devon Conway,2026,Chennai Super Kings
Dewald Brevis,2022,Mumbai Indians
Dewald Brevis,2026,Mumbai Indians
Dhawal Kulkarni,2014,Rajasthan Royals
Dhawal Kulkarni,2016,Gujarat Lions
Dhawal Kulkarni,2018,Rajasthan Royals
Dhawal Kulkarni,2026,Rajasthan Royals
Dhruv Jurel,2022,Rajasthan Royals
Dhruv Jurel,2023,Rajasthan Royals
Dhruv Jurel,2024,Rajasthan Royals
Dhruv Jurel,2026,Rajasthan Royals
Dhruv Shorey,2018,Chennai Super Kings
Dhruv Shorey,2026,Chennai Super Kings
Digvesh Singh,2025,Lucknow Super Giants
Digvesh Singh,2026,Lucknow Super Giants
Digvijay Deshmukh,2020,Mumbai Indians
Digvijay Deshmukh,2026,Mumbai Indians
Dilshan Madushanka,2024,Mumbai Indians
Dilshan Madushanka,2026,Mumbai Indians
Dinesh Karthik,2014,Delhi Capitals
Dinesh Karthik,2015,Royal Challengers Bengaluru
Dinesh Karthik,2016,Gujarat Lions
Dinesh Karthik,2018,Kolkata Knight Riders
Dinesh Karthik,2022,Royal Challengers Bengaluru
Dinesh Karthik,2026,Royal Challengers Bengaluru
Dinesh Salunkhe,2015,Rajasthan Royals
Dinesh Salunkhe,2026,Rajasthan Royals
Dirk Nannes,2013,Chennai Super Kings
Dirk Nannes,2026,Chennai Super Kings
Dishant Yagnik,2014,Rajasthan Royals
Dishant Yagnik,2026,Rajasthan Royals
Dominic Drakes,2022,Gujarat Titans
Dominic Drakes,2026,Gujarat Titans
Domnic Joseph Muthuswamy,2015,Delhi Capitals
Domnic Joseph Muthuswamy,2026,Delhi Capitals
Donovan Ferreira,2023,Rajasthan Royals
Donovan Ferreira,2025,Delhi Capitals
Donovan Ferreira,2026,Delhi Capitals
Duan Jansen,2023,Mumbai Indians
Duan Jansen,2026,Mumbai Indians
Dushmanta Chameera,2022,Lucknow Super Giants
Dushmanta Chameera,2026,Lucknow Super Giants
Dushmantha Chameera,2018,Rajasthan Royals
Dushmantha Chameera,2025,Delhi Capitals
Dushmantha Chameera,2026,Delhi Capitals
Dwaine Pretorius,2022,Chennai Super Kings
Dwaine Pretorius,2026,Chennai Super Kings
Dwayne Bravo,2018,Chennai Super Kings
Dwayne Bravo,2022,Chennai Super Kings
Dwayne Bravo,2026,Chennai Super Kings
Dwayne Smith,2014,Chennai Super Kings
Dwayne Smith,2016,Gujarat Lions
Dwayne Smith,2026,Gujarat Lions
E Lewis,2018,Mumbai Indians
E Lewis,2019,Mumbai Indians
E Lewis,2021,Rajasthan Royals
E Lewis,2022,Lucknow Super Giants
EJG Morgan,2010,Royal Challengers Bengaluru
EJG Morgan,2011,Kolkata Knight Riders
EJG Morgan,2013,Kolkata Knight Riders
EJG Morgan,2015,Sunrisers Hyderabad
EJG Morgan,2016,Sunrisers Hyderabad
EJG Morgan,2017,Punjab Kings
EJG Morgan,2020,Kolkata Knight Riders
EJG Morgan,2021,Kolkata Knight Riders
ER Dwivedi,2016,Gujarat Lions
Eklavya Dwivedi,2015,Chennai Super Kings
Eklavya Dwivedi,2016,Gujarat Lions
Eklavya Dwivedi,2017,Sunrisers Hyderabad
Eklavya Dwivedi,2026,Sunrisers Hyderabad
Eoin Morgan,2015,Sunrisers Hyderabad
Eoin Morgan,2017,Punjab Kings
Eoin Morgan,2020,Kolkata Knight Riders
Eoin Morgan,2026,Kolkata Knight Riders
Eshan Malinga,2025,Sunrisers Hyderabad
Eshan Malinga,2026,Sunrisers Hyderabad
Evin Lewis,2018,Mumbai Indians
Evin Lewis,2022,Lucknow Super Giants
Evin Lewis,2026,Lucknow Super Giants
F Behardien,2016,Punjab Kings
F du Plessis,2012,Chennai Super Kings
F du Plessis,2014,Chennai Super Kings
F du Plessis,2015,Chennai Super Kings
F du Plessis,2016,Rising Pune Supergiant
F du Plessis,2017,Rising Pune Supergiant
F du Plessis,2018,Chennai Super Kings
F du Plessis,2019,Chennai Super Kings
F du Plessis,2020,Chennai Super Kings
F du Plessis,2021,Chennai Super Kings
F du Plessis,2022,Royal Challengers Bengaluru
F du Plessis,2023,Royal Challengers Bengaluru
F du Plessis,2024,Royal Challengers Bengaluru
FA Allen,2021,Punjab Kings
FA Allen,2022,Mumbai Indians
FH Edwards,2009,Deccan Chargers
FY Fazal,2010,Rajasthan Royals
